sample-ID	CFU
01S001	19187.95
54S101	107438.14
55S104	61356.76
56S105	463047.28
57S106	161344.66
58S107	310022.32
59S108	275243.92
05S011	30056.2
60S112	87875.29
61S113	28317.28
62S115	43967.56
63S118	117436.93
64S119	85701.64
65S120	42228.64
66S125	191775.76
67S128	42228.64
68S129	499564.6
06S013	51792.7
69S130	53531.62
70S134	102221.38
71S135	46575.94
72S136	64834.6
73S138	92657.32
74S139	91787.86
07S014	29621.47
75S140	135260.86
76S141	353930.05
77S142	47880.13
78S145	66573.52
79S147	60052.57
80S148	51792.7
81S150	
82S151	60052.57
83S154	26143.63
84S156	24404.71
85S157	19187.95
86S158	19187.95
87S159	165691.96
08S016	109611.79
88S160	21361.6
09S017	120045.31
10S018	57444.19
11S019	67877.71
12S021	57878.92
13S022	53096.89
14S023	97004.62
15S024	299588.8
16S025	167430.88
17S028	51792.7
02S003	17014.3
18S031	26578.36
19S037	43098.1
20S038	42663.37
90S039	23969.98
21S041	100917.19
22S046	100047.73
03S005	21796.33
23S050	98743.54
24S052	74398.66
25S053	40924.45
26S054	57878.92
27S056	63530.41
28S062	172212.91
29S064	52662.16
30S065	53531.62
31S068	38316.07
32S069	78745.96
04S007	51792.7
33S070	61791.49
34S071	38750.8
35S073	38316.07
36S074	207426.04
37S075	38316.07
38S078	986462.2
39S084	203948.2
40S085	63965.14
41S086	70920.82
42S087	121349.5
43S088	68312.44
44S089	34838.23
45S090	46575.94
46S091	40489.72
48S094	98308.81
49S095	53966.35
50S096	159171.01
51S097	75702.85
52S098	1708114
53S099	179168.59
